japanese,English
ああ,ah!
会う,to meet
青い,blue
赤い,red
明るい,"light, bright"
秋,"autumn, fall"
開く,open
開ける,to open
,to give
朝,morning
朝ご飯,breakfast
あさって,the day after tomorrow
足,"leg, foot"
明日,tomorrow
あそこ,over there
遊ぶ,to play
温かい,warm
頭,head
新しい,new
あちら,over there (polite)
暑い,hot (air)
厚い,thick
後,"later, after"
貴方,you
兄,older brother
姉,older sister
あの,that (over there)
あの,"well, then"
アパート,apartment
浴びる,to take a shower
危ない,dangerous
甘い,sweet
あまり,not so
雨,rain
洗う,to wash
有る,"to be, to exist"
ある,to possess
歩く,to walk
あれ,that one
